Date,ISIN,Ticker,Price,Quantity
2025-02-17,IE00B60SX394,SMSWLD,116.22,26.0
2025-08-25,IE00B5BMR087,SXR8,589.15,5.0
2025-08-29,LU1829219390,BNKE,270.5,10.0
2025-10-02,IE00B579F325,SGLD,316.98,9.0
2025-11-28,IE00BGBN6P67,BCHN,550.0,8.0
